"primaryName","startYear","weightedRating","fileName"
"Elmir Jukic","2013",7.40599001663893,"Elmir_Jukic"
"Elmir Jukic","2014",8.55078125,"Elmir_Jukic"
"Elmir Jukic","2015",8.0465034965035,"Elmir_Jukic"
"Elmir Jukic","2016",7.98255033557047,"Elmir_Jukic"
"Elmir Jukic","2018",7.5472334682861,"Elmir_Jukic"
"Elmir Jukic","2019",9.3,"Elmir_Jukic"
"Franklin Heller","1950",7.6438202247191,"Franklin_Heller"
"Franklin Heller","1951",8.25172413793103,"Franklin_Heller"
"Franklin Heller","1952",8.07142857142857,"Franklin_Heller"
"Franklin Heller","1953",8.00496613995485,"Franklin_Heller"
"Franklin Heller","1954",7.9301261829653,"Franklin_Heller"
"Franklin Heller","1955",7.90338573155986,"Franklin_Heller"
"Franklin Heller","1956",7.91247563352827,"Franklin_Heller"
"Franklin Heller","1957",7.68671096345515,"Franklin_Heller"
"Franklin Heller","1958",7.63161290322581,"Franklin_Heller"
"Franklin Heller","1959",7.44175,"Franklin_Heller"
"Franklin Heller","1960",7.90911062906724,"Franklin_Heller"
"Franklin Heller","1961",4.8901768172888,"Franklin_Heller"
"Franklin Heller","1962",6.78145695364238,"Franklin_Heller"
"Franklin Heller","1963",3.99339207048458,"Franklin_Heller"
"Franklin Heller","1964",5.21985645933014,"Franklin_Heller"
"Franklin Heller","1965",6.51,"Franklin_Heller"
"Franklin Heller","1966",4.70968858131488,"Franklin_Heller"
"Franklin Heller","1967",7.17958115183246,"Franklin_Heller"
"Georges Méliès","1900",6.23521213049472,"Georges_Méliès"
"Georges Méliès","1901",6.45412888601036,"Georges_Méliès"
"Georges Méliès","1902",5.47023655913979,"Georges_Méliès"
"Georges Méliès","1903",5.9200061462815,"Georges_Méliès"
"Georges Méliès","1904",5.76373495569369,"Georges_Méliès"
"Georges Méliès","1905",6.33026055408971,"Georges_Méliès"
"Georges Méliès","1906",5.77463788696393,"Georges_Méliès"
"Georges Méliès","1907",5.84244994110719,"Georges_Méliès"
"Georges Méliès","1908",5.20424653494544,"Georges_Méliès"
"Georges Méliès","1909",6.95274725274725,"Georges_Méliès"
"Georges Méliès","1910",5.6472514619883,"Georges_Méliès"
"Georges Méliès","1912",5.8,"Georges_Méliès"
"Ian Lorimer","2003",7.54223433242507,"Ian_Lorimer"
"Ian Lorimer","2004",7.49704236610711,"Ian_Lorimer"
"Ian Lorimer","2005",7.34221840068788,"Ian_Lorimer"
"Ian Lorimer","2006",7.20993843447669,"Ian_Lorimer"
"Ian Lorimer","2007",7.29812558575445,"Ian_Lorimer"
"Ian Lorimer","2008",7.19887640449438,"Ian_Lorimer"
"Ian Lorimer","2009",7.43704563031709,"Ian_Lorimer"
"Ian Lorimer","2010",7.05850225225225,"Ian_Lorimer"
"Ian Lorimer","2011",7.12380952380952,"Ian_Lorimer"
"Ian Lorimer","2012",7.00528949249464,"Ian_Lorimer"
"Ian Lorimer","2013",6.9669616519174,"Ian_Lorimer"
"Ian Lorimer","2014",7.09552889858233,"Ian_Lorimer"
"Ian Lorimer","2015",7.22491309385863,"Ian_Lorimer"
"Ian Lorimer","2016",7.12576956904134,"Ian_Lorimer"
"Ian Lorimer","2017",6.84672897196262,"Ian_Lorimer"
"Ian Lorimer","2018",6.83525179856115,"Ian_Lorimer"
"Ian Lorimer","2019",6.79394904458599,"Ian_Lorimer"
"J. Rupert Thompson","2002",6.64050632911392,"J._Rupert_Thompson"
"J. Rupert Thompson","2003",6.35032119914347,"J._Rupert_Thompson"
"J. Rupert Thompson","2004",6.49576427255985,"J._Rupert_Thompson"
"J. Rupert Thompson","2005",6.82683615819209,"J._Rupert_Thompson"
"J. Rupert Thompson","2006",6.59083333333333,"J._Rupert_Thompson"
"J. Rupert Thompson","2008",5.97340804890474,"J._Rupert_Thompson"
"J. Rupert Thompson","2009",6.4,"J._Rupert_Thompson"
"J. Rupert Thompson","2010",5.16,"J._Rupert_Thompson"
"J. Rupert Thompson","2011",7.19636363636364,"J._Rupert_Thompson"
"J. Rupert Thompson","2012",7.96031746031746,"J._Rupert_Thompson"
"J. Rupert Thompson","2013",8.58351648351648,"J._Rupert_Thompson"
"J. Rupert Thompson","2014",7.8546511627907,"J._Rupert_Thompson"
"J. Rupert Thompson","2015",7.81980198019802,"J._Rupert_Thompson"
"J. Rupert Thompson","2016",7.84795918367347,"J._Rupert_Thompson"
"J. Rupert Thompson","2017",7.65603217158177,"J._Rupert_Thompson"
"J. Rupert Thompson","2018",7.68823529411765,"J._Rupert_Thompson"
"J. Rupert Thompson","2019",6.3,"J._Rupert_Thompson"
"J. Rupert Thompson","2020",5.35444126074499,"J._Rupert_Thompson"
"J. Rupert Thompson","2021",6.26046511627907,"J._Rupert_Thompson"
"James H. White","1900",4.53952025167125,"James_H._White"
"James H. White","1901",3.94895104895105,"James_H._White"
"James H. White","1902",3.8,"James_H._White"
"James Rolfe","1989",4.8,"James_Rolfe"
"James Rolfe","1993",5.7,"James_Rolfe"
"James Rolfe","1996",6.08048780487805,"James_Rolfe"
"James Rolfe","1997",6,"James_Rolfe"
"James Rolfe","1998",5.7,"James_Rolfe"
"James Rolfe","1999",5.3,"James_Rolfe"
"James Rolfe","2001",7.07324840764331,"James_Rolfe"
"James Rolfe","2004",7.43753709198813,"James_Rolfe"
"James Rolfe","2005",7.31831831831832,"James_Rolfe"
"James Rolfe","2006",8.25898795180723,"James_Rolfe"
"James Rolfe","2007",7.75693693693694,"James_Rolfe"
"James Rolfe","2008",7.62820512820513,"James_Rolfe"
"James Rolfe","2009",7.7743766122098,"James_Rolfe"
"James Rolfe","2010",7.46021897810219,"James_Rolfe"
"James Rolfe","2011",7.54321503131524,"James_Rolfe"
"James Rolfe","2012",6.82526096033403,"James_Rolfe"
"James Rolfe","2013",7.80833796553641,"James_Rolfe"
"James Rolfe","2014",7.60203349282297,"James_Rolfe"
"James Rolfe","2015",7.04712252475248,"James_Rolfe"
"James Rolfe","2016",7.24430379746835,"James_Rolfe"
"James Rolfe","2017",7.71817334575955,"James_Rolfe"
"James Rolfe","2018",7.78006134969325,"James_Rolfe"
"James Rolfe","2019",7.17049861495845,"James_Rolfe"
"James Rolfe","2020",6.83370165745856,"James_Rolfe"
"James Rolfe","2021",5.45714285714286,"James_Rolfe"
"Kevin Dunn","1994",7.30815802975885,"Kevin_Dunn"
"Kevin Dunn","1995",5.90925822643614,"Kevin_Dunn"
"Kevin Dunn","1996",6.6431338028169,"Kevin_Dunn"
"Kevin Dunn","1997",6.70173564753004,"Kevin_Dunn"
"Kevin Dunn","1998",6.18615384615385,"Kevin_Dunn"
"Kevin Dunn","1999",6.44087804878049,"Kevin_Dunn"
"Kevin Dunn","2000",7.17035130224107,"Kevin_Dunn"
"Kevin Dunn","2001",7.37626010003848,"Kevin_Dunn"
"Kevin Dunn","2002",7.15139717425432,"Kevin_Dunn"
"Kevin Dunn","2003",7.63763540699474,"Kevin_Dunn"
"Kevin Dunn","2004",7.0977433744424,"Kevin_Dunn"
"Kevin Dunn","2005",7.54187050359712,"Kevin_Dunn"
"Kevin Dunn","2006",7.46086956521739,"Kevin_Dunn"
"Kevin Dunn","2007",6.82872727272727,"Kevin_Dunn"
"Kevin Dunn","2008",7.5989519650655,"Kevin_Dunn"
"Kevin Dunn","2009",7.36024447031432,"Kevin_Dunn"
"Kevin Dunn","2010",7.47544,"Kevin_Dunn"
"Kevin Dunn","2011",7.68044100801833,"Kevin_Dunn"
"Kevin Dunn","2012",8.04627819548872,"Kevin_Dunn"
"Kevin Dunn","2013",7.69220953660175,"Kevin_Dunn"
"Kevin Dunn","2014",7.46892138939671,"Kevin_Dunn"
"Kevin Dunn","2015",6.70123674911661,"Kevin_Dunn"
"Kevin Dunn","2016",6.92913043478261,"Kevin_Dunn"
"Kevin Dunn","2017",6.51817874069059,"Kevin_Dunn"
"Kevin Dunn","2018",6.39832635983264,"Kevin_Dunn"
"Kevin Dunn","2019",6.33960084033613,"Kevin_Dunn"
"Kevin Dunn","2020",6.86661016949153,"Kevin_Dunn"
"Kevin Dunn","2021",6.82846068660022,"Kevin_Dunn"
"Laurent Bouzereau","1995",7.9,"Laurent_Bouzereau"
"Laurent Bouzereau","1996",6.931640625,"Laurent_Bouzereau"
"Laurent Bouzereau","1997",6.25538461538462,"Laurent_Bouzereau"
"Laurent Bouzereau","1998",7.14292803970223,"Laurent_Bouzereau"
"Laurent Bouzereau","1999",7.03485113835377,"Laurent_Bouzereau"
"Laurent Bouzereau","2000",7.08051282051282,"Laurent_Bouzereau"
"Laurent Bouzereau","2001",6.58596363636364,"Laurent_Bouzereau"
"Laurent Bouzereau","2002",6.08426140757927,"Laurent_Bouzereau"
"Laurent Bouzereau","2003",6.63282028066999,"Laurent_Bouzereau"
"Laurent Bouzereau","2004",6.1889666529436,"Laurent_Bouzereau"
"Laurent Bouzereau","2005",4.428625,"Laurent_Bouzereau"
"Laurent Bouzereau","2006",6.98764845605701,"Laurent_Bouzereau"
"Laurent Bouzereau","2007",7.06326530612245,"Laurent_Bouzereau"
"Laurent Bouzereau","2008",6.26578947368421,"Laurent_Bouzereau"
"Laurent Bouzereau","2009",6.8,"Laurent_Bouzereau"
"Laurent Bouzereau","2010",6.9,"Laurent_Bouzereau"
"Laurent Bouzereau","2011",7.24523160762943,"Laurent_Bouzereau"
"Laurent Bouzereau","2012",6.8,"Laurent_Bouzereau"
"Laurent Bouzereau","2014",6.2,"Laurent_Bouzereau"
"Lewis Brindley","2012",8.20096153846154,"Lewis_Brindley"
"Lewis Brindley","2013",8.43463035019455,"Lewis_Brindley"
"Lewis Brindley","2014",8.37484008528785,"Lewis_Brindley"
"Lewis Brindley","2016",8,"Lewis_Brindley"
"Lewis Brindley","2017",8.1,"Lewis_Brindley"
"Lewis Lovhaug","2008",7.80615384615385,"Lewis_Lovhaug"
"Lewis Lovhaug","2009",7.55377358490566,"Lewis_Lovhaug"
"Lewis Lovhaug","2010",8.18976109215017,"Lewis_Lovhaug"
"Lewis Lovhaug","2011",7.77906976744186,"Lewis_Lovhaug"
"Lewis Lovhaug","2012",7.90045248868778,"Lewis_Lovhaug"
"Lewis Lovhaug","2013",7.96184210526316,"Lewis_Lovhaug"
"Lewis Lovhaug","2014",8.25103448275862,"Lewis_Lovhaug"
"Lewis Lovhaug","2015",8.21714285714286,"Lewis_Lovhaug"
"Lewis Lovhaug","2016",7.19076923076923,"Lewis_Lovhaug"
"Lewis Lovhaug","2017",7.41973684210526,"Lewis_Lovhaug"
"Lewis Lovhaug","2018",7.16666666666667,"Lewis_Lovhaug"
"Michael Pearlman","2007",6.62838709677419,"Michael_Pearlman"
"Michael Pearlman","2008",8.0695652173913,"Michael_Pearlman"
"Michael Pearlman","2010",8.36658711217184,"Michael_Pearlman"
"Michael Pearlman","2011",8.3867298578199,"Michael_Pearlman"
"Michael Pearlman","2012",8.32756024096386,"Michael_Pearlman"
"Michael Pearlman","2013",7.53242122719735,"Michael_Pearlman"
"Michael Pearlman","2014",8.27091836734694,"Michael_Pearlman"
"Michael Pearlman","2015",8.2247990815155,"Michael_Pearlman"
"Michael Pearlman","2016",7.87604456824512,"Michael_Pearlman"
"Michael Pearlman","2017",7.71841704718417,"Michael_Pearlman"
"Michael Pearlman","2018",6.95222602739726,"Michael_Pearlman"
"Michael Pearlman","2019",7.79156378600823,"Michael_Pearlman"
"Michael Pearlman","2020",7.34636363636364,"Michael_Pearlman"
"Michael Pearlman","2021",5.96176470588235,"Michael_Pearlman"
"Mike Matei","2009",7.4,"Mike_Matei"
"Mike Matei","2012",6.96811594202899,"Mike_Matei"
"Mike Matei","2013",7.17544642857143,"Mike_Matei"
"Mike Matei","2014",7.08401598401598,"Mike_Matei"
"Mike Matei","2015",7.33767313019391,"Mike_Matei"
"Mike Matei","2016",7.23961988304093,"Mike_Matei"
"Mike Matei","2017",7.46268115942029,"Mike_Matei"
"Mike Matei","2018",7.3603550295858,"Mike_Matei"
"Mike Matei","2019",7.36756032171582,"Mike_Matei"
"Mike Matei","2020",7.38248587570622,"Mike_Matei"
"Paul Starkman","2009",7.8285046728972,"Paul_Starkman"
"Paul Starkman","2010",7.25660377358491,"Paul_Starkman"
"Paul Starkman","2011",7.64417475728155,"Paul_Starkman"
"Paul Starkman","2012",7.54433962264151,"Paul_Starkman"
"Paul Starkman","2013",7.14559686888454,"Paul_Starkman"
"Paul Starkman","2014",7.00854166666667,"Paul_Starkman"
"Paul Starkman","2015",7.02023121387283,"Paul_Starkman"
"Paul Starkman","2016",7.21503496503496,"Paul_Starkman"
"Paul Starkman","2017",6.51081081081081,"Paul_Starkman"
"Paul Starkman","2018",7.20956375838926,"Paul_Starkman"
"Paul Starkman","2019",6.8832298136646,"Paul_Starkman"
"Paul Starkman","2021",7.68125,"Paul_Starkman"
"Paul Wheeler","1998",5.7,"Paul_Wheeler"
"Paul Wheeler","1999",6.55172413793103,"Paul_Wheeler"
"Paul Wheeler","2000",6.1,"Paul_Wheeler"
"Paul Wheeler","2001",6.23076923076923,"Paul_Wheeler"
"Paul Wheeler","2002",7.0156862745098,"Paul_Wheeler"
"Paul Wheeler","2003",6.87741935483871,"Paul_Wheeler"
"Paul Wheeler","2004",6.33548387096774,"Paul_Wheeler"
"Paul Wheeler","2005",7.16115702479339,"Paul_Wheeler"
"Paul Wheeler","2006",6.77727272727273,"Paul_Wheeler"
"Paul Wheeler","2007",7.25,"Paul_Wheeler"
"Paul Wheeler","2008",7.87577639751553,"Paul_Wheeler"
"Paul Wheeler","2009",7.204375,"Paul_Wheeler"
"Paul Wheeler","2010",7.73392857142857,"Paul_Wheeler"
"Paul Wheeler","2011",7.16,"Paul_Wheeler"
"Paul Wheeler","2012",7.12222222222222,"Paul_Wheeler"
"Paul Wheeler","2013",6.88604651162791,"Paul_Wheeler"
"Paul Wheeler","2014",6.61538461538461,"Paul_Wheeler"
"Paul Wheeler","2015",6.53720930232558,"Paul_Wheeler"
"Paul Wheeler","2016",6.65961538461538,"Paul_Wheeler"
"Paul Wheeler","2017",6.58461538461538,"Paul_Wheeler"
"Paul Wheeler","2018",6.83235294117647,"Paul_Wheeler"
"Paul Wheeler","2019",6.51022727272727,"Paul_Wheeler"
"Russell Norman","2003",3.6,"Russell_Norman"
"Russell Norman","2004",4.4,"Russell_Norman"
"Russell Norman","2008",5.38624161073826,"Russell_Norman"
"Russell Norman","2009",5.5328125,"Russell_Norman"
"Russell Norman","2010",5.77526041666667,"Russell_Norman"
"Russell Norman","2011",7.00921273031826,"Russell_Norman"
"Russell Norman","2012",6.98500477554919,"Russell_Norman"
"Russell Norman","2013",7.0031175059952,"Russell_Norman"
"Russell Norman","2014",7.68471615720524,"Russell_Norman"
"Russell Norman","2015",6.81225099601594,"Russell_Norman"
"Russell Norman","2016",7.5481852913085,"Russell_Norman"
"Russell Norman","2017",7.50637450199203,"Russell_Norman"
"Russell Norman","2018",7.42110850682476,"Russell_Norman"
"Russell Norman","2019",7.09049808429119,"Russell_Norman"
"Russell Norman","2020",6.13502919099249,"Russell_Norman"
"Russell Norman","2021",6.64731977818854,"Russell_Norman"
"Sergey A.","2005",8.23873873873874,"Sergey_A."
"Sergey A.","2006",9.7,"Sergey_A."
"Sergey A.","2009",8.62536443148688,"Sergey_A."
"Sergey A.","2012",8.5,"Sergey_A."
"Sergey A.","2013",7.80454545454545,"Sergey_A."
"Sergey A.","2014",8.13217455621302,"Sergey_A."
"Sergey A.","2015",8.24241610738255,"Sergey_A."
"Sergey A.","2016",8.55078318219291,"Sergey_A."
"Sergey A.","2017",8.29663865546219,"Sergey_A."
"Sergey A.","2018",8.29448275862069,"Sergey_A."
"Sergey A.","2019",8.6288490284006,"Sergey_A."
"Sergey A.","2020",8.99188811188811,"Sergey_A."
"Sergey A.","2021",8.73684210526316,"Sergey_A."
"Stan Brakhage","1952",6.7,"Stan_Brakhage"
"Stan Brakhage","1954",5.74936708860759,"Stan_Brakhage"
"Stan Brakhage","1955",5.62926829268293,"Stan_Brakhage"
"Stan Brakhage","1956",6.67333333333333,"Stan_Brakhage"
"Stan Brakhage","1957",6.14255319148936,"Stan_Brakhage"
"Stan Brakhage","1958",6.2,"Stan_Brakhage"
"Stan Brakhage","1959",6.81759942843534,"Stan_Brakhage"
"Stan Brakhage","1960",5.5,"Stan_Brakhage"
"Stan Brakhage","1961",5.62891156462585,"Stan_Brakhage"
"Stan Brakhage","1962",6.6,"Stan_Brakhage"
"Stan Brakhage","1963",6.36180349932705,"Stan_Brakhage"
"Stan Brakhage","1964",6.19674434544208,"Stan_Brakhage"
"Stan Brakhage","1965",5.21907172995781,"Stan_Brakhage"
"Stan Brakhage","1967",6.73409090909091,"Stan_Brakhage"
"Stan Brakhage","1968",4.99354838709677,"Stan_Brakhage"
"Stan Brakhage","1969",6.22060737527115,"Stan_Brakhage"
"Stan Brakhage","1970",6.22116788321168,"Stan_Brakhage"
"Stan Brakhage","1971",6.89936926605505,"Stan_Brakhage"
"Stan Brakhage","1972",5.28983364140481,"Stan_Brakhage"
"Stan Brakhage","1973",5.9,"Stan_Brakhage"
"Stan Brakhage","1974",5.84233954451346,"Stan_Brakhage"
"Stan Brakhage","1975",6.8093023255814,"Stan_Brakhage"
"Stan Brakhage","1976",5.87131147540984,"Stan_Brakhage"
"Stan Brakhage","1977",5.73505303760849,"Stan_Brakhage"
"Stan Brakhage","1978",5.9873440285205,"Stan_Brakhage"
"Stan Brakhage","1979",7.05223880597015,"Stan_Brakhage"
"Stan Brakhage","1980",6.01770623742455,"Stan_Brakhage"
"Stan Brakhage","1981",6.21390831390831,"Stan_Brakhage"
"Stan Brakhage","1982",7.67755102040816,"Stan_Brakhage"
"Stan Brakhage","1984",7.18928571428571,"Stan_Brakhage"
"Stan Brakhage","1986",6.11240395170143,"Stan_Brakhage"
"Stan Brakhage","1987",6.75494211932324,"Stan_Brakhage"
"Stan Brakhage","1988",5.8259203606311,"Stan_Brakhage"
"Stan Brakhage","1989",5.80428571428572,"Stan_Brakhage"
"Stan Brakhage","1990",5.83504968383017,"Stan_Brakhage"
"Stan Brakhage","1991",6.08565022421525,"Stan_Brakhage"
"Stan Brakhage","1992",6.20575539568345,"Stan_Brakhage"
"Stan Brakhage","1993",5.9039641943734,"Stan_Brakhage"
"Stan Brakhage","1994",6.04585365853659,"Stan_Brakhage"
"Stan Brakhage","1995",6.91904761904762,"Stan_Brakhage"
"Stan Brakhage","1996",6.05377697841727,"Stan_Brakhage"
"Stan Brakhage","1997",6.25696413678065,"Stan_Brakhage"
"Stan Brakhage","1998",5.7,"Stan_Brakhage"
"Stan Brakhage","1999",5.69076757917338,"Stan_Brakhage"
"Stan Brakhage","2000",6.65965665236051,"Stan_Brakhage"
"Stan Brakhage","2001",6.49767699115044,"Stan_Brakhage"
"Stan Brakhage","2002",6.99662447257384,"Stan_Brakhage"
"Stan Brakhage","2003",5.2415611814346,"Stan_Brakhage"
"Stan Brakhage","2004",7,"Stan_Brakhage"
"Stan Brakhage","2011",5.4,"Stan_Brakhage"
"Stan Brakhage","2020",6.3,"Stan_Brakhage"
"Tyler Perry","2002",4.6,"Tyler_Perry"
"Tyler Perry","2003",4.4,"Tyler_Perry"
"Tyler Perry","2004",3.5,"Tyler_Perry"
